Mes,IPC,DTF,usura E.A.,usura M.V.,usura-DTF,usura-IPC
1/07/1955,"-0,87%",,,,,
1/08/1955,"-0,01%",,,,,
1/09/1955,"0,84%",,,,,
1/10/1955,"0,77%",,,,,
1/11/1955,"1,44%",,,,,
1/12/1955,"2,03%",,,,,
1/01/1956,"2,10%",,,,,
1/02/1956,"2,57%",,,,,
1/03/1956,"3,10%",,,,,
1/04/1956,"3,04%",,,,,
1/05/1956,"4,25%",,,,,
1/06/1956,"5,28%",,,,,
1/07/1956,"6,36%",,,,,
1/08/1956,"5,76%",,,,,
1/09/1956,"7,26%",,,,,
1/10/1956,"8,31%",,,,,
1/11/1956,"8,83%",,,,,
1/12/1956,"7,91%",,,,,
1/01/1957,"9,30%",,,,,
1/02/1957,"10,30%",,,,,
1/03/1957,"11,21%",,,,,
1/04/1957,"12,97%",,,,,
1/05/1957,"13,58%",,,,,
1/06/1957,"17,15%",,,,,
1/07/1957,"19,39%",,,,,
1/08/1957,"21,43%",,,,,
1/09/1957,"20,93%",,,,,
1/10/1957,"21,17%",,,,,
1/11/1957,"19,84%",,,,,
1/12/1957,"20,69%",,,,,
1/01/1958,"19,46%",,,,,
1/02/1958,"18,05%",,,,,
1/03/1958,"17,86%",,,,,
1/04/1958,"17,24%",,,,,
1/05/1958,"18,06%",,,,,
1/06/1958,"13,90%",,,,,
1/07/1958,"10,99%",,,,,
1/08/1958,"10,47%",,,,,
1/09/1958,"10,14%",,,,,
1/10/1958,"8,92%",,,,,
1/11/1958,"8,54%",,,,,
1/12/1958,"7,98%",,,,,
1/01/1959,"9,47%",,,,,
1/02/1959,"10,34%",,,,,
1/03/1959,"9,09%",,,,,
1/04/1959,"8,96%",,,,,
1/05/1959,"7,62%",,,,,
1/06/1959,"7,87%",,,,,
1/07/1959,"8,41%",,,,,
1/08/1959,"7,78%",,,,,
1/09/1959,"7,23%",,,,,
1/10/1959,"7,14%",,,,,
1/11/1959,"7,42%",,,,,
1/12/1959,"7,81%",,,,,
1/01/1960,"6,52%",,,,,
1/02/1960,"5,24%",,,,,
